village_id,ts,new_owner,old_owner,extra
1299,1788672756,1577542923,0,
138,1788673780,9806406,0,
2363,1788674358,1577394602,8469495,
9709,1788674407,1576598150,8658681,
14597,1788674437,8677916,1577485882,
13148,1788674496,8013865,1577467162,
11495,1788675539,1577422478,1577433067,
6570,1788675574,1577416552,1577535824,
6490,1788676050,1576862060,1577535398,
13369,1788677534,1577139820,0,
12036,1788678808,1576363634,1577542771,
1773,1788679257,1577487732,0,
10404,1788679267,1576900092,1577535752,
3025,1788679405,7730087,1576788128,
18018,1788680107,1577542229,0,
13176,1788680730,1577501389,0,
11522,1788680768,608497,1577527984,
4473,1788681143,1576425365,0,
7268,1788682083,1577507188,1577540516,
3224,1788682447,1577499715,0,
23040,1788682589,1576096956,0,
7427,1788683402,1577240807,0,
10495,1788683484,9642632,0,
1842,1788683515,1577538246,409237,
15190,1788683722,1576982986,1577510452,
8470,1788683940,1577484886,1577534053,
23500,1788683950,9920231,0,
4305,1788684126,1577490989,0,
16309,1788684565,1577440363,0,
17237,1788685363,1577544193,0,
5596,1788685956,1577535454,0,
2173,1788686089,2069613,3240273,
7174,1788686786,1577514194,1577540310,
21567,1788688282,1577393502,1577544617,
3000,1788688578,1576068723,0,
13533,1788689870,1577401874,2098404,
16874,1788690766,1577544193,0,
20403,1788691345,7917499,1577536031,
13453,1788691611,10080975,1577513076,
20067,1788691658,8801214,1577458687,
15733,1788691819,1577540185,0,
5019,1788691912,7704883,1577507448,
81,1788692568,1577420867,0,
9689,1788692713,548866,0,
18034,1788693338,1577106499,0,
416,1788694225,1577114057,1577498623,
11831,1788694325,1577512641,0,
4355,1788694431,7961799,1577442666,
3851,1788694867,1577505624,1577387679,
15447,1788695911,1577300851,0,
227,1788696726,1576270672,1577414870,
24932,1788697060,1577339706,0,
10937,1788697174,760440,0,
4162,1788697939,1577522507,0,
14590,1788698374,1577356387,0,
2111,1788698534,8111844,0,
21445,1788699038,1577153654,0,
15090,1788699354,1577285245,1577510711,
1427,1788699687,1577181969,0,
24071,1788700248,1577169492,0,
1228,1788700359,1577420362,1577504686,
15564,1788700441,8963712,0,
6987,1788701294,1577231003,0,
8085,1788701365,1577321823,9702405,
5950,1788701494,1576836244,0,
2914,1788701703,1577538934,1576540808,
9109,1788701859,971259,0,
17973,1788702291,1577485331,1577490517,
17058,1788702840,1577516880,1576805224,
1727,1788702914,1577487732,0,
24993,1788703454,1577169492,0,
20056,1788703563,1576596873,0,
11682,1788703582,1576937849,0,
15758,1788703760,9786979,0,
18691,1788704392,1577249935,0,
6304,1788704720,1065350,1577535084,
9807,1788704871,1577544047,1577539933,
25484,1788705207,1576976099,0,
2948,1788705362,1577301029,0,
6630,1788705777,1577539178,1577414870,
2237,1788706258,1689796,7805538,
21244,1788706339,1577544614,1577421347,
25737,1788706437,1577292595,0,
8234,1788706769,1577520991,0,
12572,1788707144,8004100,1577536033,
5193,1788707536,1577537130,0,
6527,1788708132,8161459,1577535523,
22068,1788708226,1577393502,129687,
9301,1788708360,1106388,1577511026,
8524,1788708537,1577510430,0,
20181,1788708606,1577397494,0,
10018,1788708635,9642632,0,
5011,1788708690,1375412,1577507434,
382,1788708810,1576839110,1577542676,
5954,1788709455,1577373047,1577534502,
8146,1788709539,1577543469,0,
13817,1788709579,1576824164,2811774,
1299,1788709805,9876086,1577542923,
17674,1788710356,1577490916,1577544192,
4475,1788710430,1577522507,0,
7804,1788710513,8039582,0,
2445,1788710955,1577535511,0,
15448,1788711193,9786979,0,
20429,1788711230,1577184777,0,
20429,1788711230,1577184777,1577184777,
6957,1788711236,3094599,1577538850,
573,1788711268,1577133059,0,
971,1788711343,1577522507,0,
2311,1788711550,3039070,8234377,
13223,1788711598,8363828,9203662,
21216,1788711671,1577502320,1577544579,
4006,1788712440,8860225,1577417050,
14248,1788712445,1577498626,0,
13429,1788712453,978765,0,
3282,1788712518,8554566,0,
10046,1788712668,1577420362,1577504686,
19728,1788712741,9099524,0,
1628,1788712812,1576068723,0,
2781,1788713233,1577538080,1576079155,
19653,1788713830,1265792,0,
6236,1788713895,1577489354,1577534905,
5312,1788714183,1577034674,0,
4482,1788714454,1576096938,1577458964,
4984,1788714517,1577306410,0,
10553,1788714533,1577512641,0,
5066,1788715107,2950142,1577507559,
4794,1788715194,1130518,0,
4843,1788715427,1576959764,1577507148,
14632,1788715666,1577429914,1577507622,
936,1788715770,1577417347,0,
23087,1788716457,2833750,0,
14465,1788716637,1577514864,0,
7262,1788716851,1577514194,1577540513,
10135,1788716998,9857437,0,
4269,1788717729,2069613,1577433308,
21553,1788718375,1577513316,0,
14716,1788718438,1577178575,0,
10389,1788718551,1576439886,1577458197,
7274,1788719503,1577540451,0,
7299,1788719527,1577523449,1577541007,
8387,1788719632,1576270672,1577534874,
2841,1788720278,1130518,0,
5681,1788721026,2779332,1577532908,
3796,1788721068,1577483302,1577372218,
7625,1788721186,1576973896,0,
23241,1788721397,1576096956,0,
10473,1788721417,1576859369,0,
18026,1788721464,1576449100,0,
4572,1788722440,1576987613,1577488241,
22746,1788723520,1577393502,1577544771,
6469,1788723564,1577060442,1577414870,
6926,1788723842,1577422997,1577538246,
3892,1788723996,1577529138,1577394570,
2470,1788724086,1577372786,9165288,
392,1788724228,1577540451,1577542911,
1255,1788724603,1577542923,1577439574,
8857,1788724805,1577521841,0,
7741,1788724957,2950142,0,
14030,1788725020,1577527187,0,
3278,1788725147,1577522507,0,
6954,1788725924,1577544203,0,
2035,1788726105,1577397456,0,
19597,1788726255,9979507,1577353891,
7507,1788726372,1577536449,1577542644,
7160,1788727059,1577397959,1577540285,
8412,1788727285,1576401633,1577539375,
20295,1788727578,1577360773,0,
1647,1788728410,1577527930,1577495294,
16828,1788728631,7917499,9792766,
12682,1788729416,1577229730,1577527724,
16288,1788729470,8963712,0,
6332,1788729506,1576068723,0,
17270,1788729565,9888572,0,
19638,1788729642,9869866,0,
15845,1788729957,1577526543,10040509,
14659,1788730510,8927127,0,
12392,1788730622,556673,1577542474,
7690,1788730655,1576656377,0,
19044,1788730681,1577536449,0,
25856,1788731757,1576976099,0,
19767,1788731947,1577489962,0,
2978,1788732342,1577114057,0,
649,1788732981,1577522507,0,
14290,1788733450,1576514735,0,
8397,1788734219,1577465504,1577536140,
6160,1788734790,1577515991,1577534819,
21716,1788735961,9523859,0,
24787,1788736823,333547,0,
14256,1788736870,1576018908,0,
17072,1788737667,1577544193,0,
10472,1788737965,760440,0,
9371,1788738814,1577425804,1577536234,
9612,1788739985,1819870,1576595230,
2578,1788740303,1577240807,0,
2820,1788741837,1577525256,1576281097,
12148,1788742391,1577192256,1577543065,
6592,1788744524,1576984375,1577414870,
22042,1788744830,1577431073,0,
9488,1788747376,2607380,1577510563,
7789,1788750111,1577543469,0,
24372,1788750688,9920231,0,
5790,1788753494,1577531158,0,
17019,1788755648,1577279914,0,
13569,1788755683,9645437,0,
25132,1788757097,1577045351,0,
11043,1788757191,1577543420,1577543539,
12668,1788757938,1577393712,1577519950,
1994,1788758695,1577384735,0,
12397,1788758745,1577419521,0,
13431,1788758919,2254926,0,
1161,1788759113,1577390344,0,
23078,1788759857,1577513316,0,
4580,1788760800,8942925,1577489354,
7154,1788760801,1577507199,1577540281,
10364,1788760890,1577415816,1577182446,
4337,1788761927,2314840,1577441206,
11879,1788762098,1577524728,0,
2306,1788762660,9275232,8217072,
2306,1788762660,9275232,9275232,
6033,1788762841,1576908434,0,
2802,1788763606,1577523449,0,
17202,1788763716,1577360773,9240511,
12527,1788763870,1576997632,0,
9320,1788764273,548866,0,
16206,1788764935,8837766,0,
2132,1788764943,1577401309,2967953,
13515,1788765184,1577414412,0,
24521,1788765513,1577339706,0,
2198,1788765651,1577399890,0,
12193,1788765910,1577332496,0,
5641,1788765981,1577122126,1577532620,
15630,1788766795,1577059736,0,
10407,1788767428,1577229730,0,
6585,1788768300,1576598150,1577535837,
1745,1788768424,1576068723,1577541145,
4968,1788769013,1577536510,0,
3703,1788769815,9277021,1577362464,
13682,1788770313,1577518818,1577347056,
13980,1788771835,2355753,1577204021,
5383,1788772614,1577349725,0,
17902,1788773072,1102804,1576145921,
18228,1788773372,1577462749,0,
12200,1788773793,9285938,1577422903,
3117,1788774054,1577518265,0,
8994,1788774265,1577527523,0,
15003,1788775542,1576347194,8847890,
20079,1788775562,1577498428,0,
14884,1788775886,1577178460,0,
3945,1788776470,1577538281,0,
14693,1788776476,1577512528,0,
8738,1788776727,1577350677,1577317372,
13372,1788776951,1577512528,0,
7009,1788777116,1577498200,0,
14000,1788777272,1576401633,0,
3621,1788778296,1577522967,1577338050,
21377,1788778811,1577393502,0,
25230,1788779045,1577409283,0,
18694,1788779052,1577544675,0,
9603,1788779209,1577427791,0,
1991,1788779222,1577516328,1675139,
17832,1788779622,1577153654,0,
623,1788779676,1577181969,0,
12464,1788779938,1577388261,0,
11672,1788780002,3039070,0,
2048,1788780114,1577538281,2148643,
2582,1788780258,9471881,0,
6877,1788781076,1576574201,1577537872,
10204,1788781293,1577355546,0,
20103,1788781398,2217626,0,
22078,1788781401,2833750,0,
13008,1788781892,1577528385,0,
24041,1788782744,1577292595,0,
11377,1788783091,9256749,1577539642,
3866,1788783388,1577265934,1577390446,
6744,1788783901,1576588036,1577535918,
8463,1788783998,1577420362,1577504686,
14480,1788784312,9768644,0,
13280,1788784657,1577498626,0,
22526,1788784895,1577544614,9588126,
14369,1788784956,1577454074,0,
6048,1788785278,1577401309,1577534672,
6204,1788785565,1577133059,1577534892,
10977,1788785935,8046112,0,
3106,1788785999,1577505624,1576960376,
13069,1788786025,1577533913,0,
8025,1788786291,1577442999,0,
5696,1788786719,1577544203,0,
5114,1788787294,9563463,1577510147,
5284,1788787310,1577498632,1577519807,
13107,1788787629,1577529338,1577284645,
1207,1788787653,1577268024,0,
17454,1788788001,1577383865,0,
6804,1788788856,1381625,0,
22158,1788789044,1577393299,1128115,
4053,1788789097,10071988,0,
18892,1788789211,1577498428,0,
5244,1788789545,1577399535,1577517385,
1885,1788790283,1576298928,866518,
6817,1788790448,1577538281,0,
5550,1788790571,8554566,0,
15390,1788791777,8246098,0,
16494,1788791794,8639312,1577257072,
7140,1788792090,8963712,0,
12516,1788792294,1577416318,1577508515,
12508,1788792864,1576822556,1577508514,
270,1788792955,1577518265,0,
6164,1788793001,1577268024,0,
17196,1788793186,9979507,1577370056,
16068,1788793325,1577059736,0,
1949,1788793473,1577532848,0,
18882,1788793750,792488,0,
21435,1788793983,1577136351,0,
2744,1788794443,9189327,0,
15000,1788795273,715955,0,
23124,1788795312,1577169492,1577304313,
20518,1788795735,1577360773,0,
6063,1788795997,1577392662,0,
5981,1788796238,1577373047,1577534512,
7774,1788796321,1577439119,0,
1600,1788796442,2652136,0,
13657,1788796893,1577513669,0,
8073,1788797106,8247637,0,
18104,1788797447,1576596873,0,
1410,1788797927,1577538659,1259273,
11249,1788798097,1577492185,1577542825,
11597,1788798367,1576563053,1577524404,
13170,1788798372,1577348621,1577542411,
14317,1788798394,1577508929,0,
1406,1788798509,1577520959,1577514409,
3285,1788799059,9779516,1577154496,
14952,1788799329,9120425,0,
10268,1788799711,1576173553,0,
15246,1788799927,1577450028,0,
11267,1788799956,1577492185,1577542966,
519,1788800170,1576756867,9563463,
1501,1788800902,1577375163,0,
11531,1788800934,1577484886,0,
13978,1788801633,1577488359,0,
3165,1788801732,1577399890,0,
17442,1788801991,1577511588,8746396,
14175,1788802100,9768644,0,
7156,1788802373,10187316,1577540282,
2663,1788802746,1577504878,0,
6634,1788803040,8013865,1577535859,
3837,1788803236,1577375163,1577384932,
6396,1788803561,1577543240,0,
7,1788803659,1577523449,0,
7265,1788804039,1577514194,1577540514,
24211,1788804102,1577544881,0,
19578,1788804136,1577539136,1577414870,
15965,1788804147,1577178702,1575831966,
3545,1788804252,1577537931,1577304358,
9593,1788804274,1577455662,0,
8526,1788804385,9814162,0,
3783,1788804784,1576836244,0,
2373,1788804913,1577076729,0,
12062,1788804987,1575952891,1577542780,
