id,name,ally,villages,points,att,def,sup,all
1577511539,FaHaD,114,1,1230,0,0,0,0
1577511552,Angriff Vergessen?,0,1,465,0,18,0,18
1577511554,Die Farmtiere,0,1,477,0,0,0,0
1577511588,Sir Roy,285,3,6088,280,234,0,514
1577511589,xBigJigg,11,1,485,0,0,427,427
1577511604,maryalice,0,1,4640,2230,24413,0,26643
1577511664,Adelmann,0,1,240,0,0,0,0
1577511675,Der Metzler,20,1,464,0,0,0,0
1577511779,Mafia Bienen506,0,1,26,0,0,0,0
1577511782,Ragnar der Blaue,0,1,26,0,0,0,0
1577511918,ZaNi,0,1,198,0,0,0,0
1577511922,Orlando,0,1,26,0,0,0,0
1577512062,Aleksandar,293,1,2952,0,0,6744,6744
1577512067,Flocke05,412,1,4087,0,0,0,0
1577512072,t3rrorclown,340,1,927,0,0,0,0
1577512098,Brujita,293,4,4333,140,626,407,1173
1577512122,Wurschtbrot,0,1,318,0,667,0,667
1577512174,brenner1,0,1,145,0,0,0,0
1577512230,NK2623,591,1,824,7450,1179,0,8629
1577512244,ii B 3 L G 1 U M,0,1,431,0,804,0,804
1577512267,bobbytrottel,0,1,1668,0,0,0,0
1577512319,Costa Calma,177,2,3762,40,1014,0,1054
1577512358,LikeMe,0,0,0,8024,759,0,8783
1577512450,Kampfkeks87,343,1,2482,0,0,0,0
1577512467,San Tan Lah,0,1,678,0,0,0,0
1577512528,Tiddel,150,5,16984,30272,0,756,31028
1577512551,Lady Don Carlo,0,1,940,0,150,0,150
1577512577,K4153R-G,8,1,2091,0,0,0,0
1577512641,Still Mighty,442,9,39397,7270,197,0,7467
1577512658,LordVulkano,0,1,124,0,0,0,0
1577512711,ursus,0,1,704,0,0,0,0
1577512716,Manichfalt,0,1,3304,0,560,0,560
1577512728,DE.Beutler,0,1,26,0,0,0,0
1577512780,Berta318,0,1,26,0,0,0,0
1577512782,Weedfluencer,226,1,1008,0,0,0,0
1577512873,darkphoenix212,0,1,169,0,0,0,0
1577512946,MARLBOROMANN,0,1,678,0,0,0,0
1577512969,Zackenprinz,0,1,26,0,0,0,0
1577512976,cribii,516,3,6166,6132,265,0,6397
1577512980,Intervontinder,436,2,3744,1386,52,0,1438
1577513076,walger,285,2,9156,4528,2354,0,6882
1577513088,Maurelius,365,1,747,0,0,0,0
1577513100,Khaos123,15,1,738,0,392,0,392
1577513140,Jon Schnee,121,1,836,0,0,0,0
1577513142,Theon Graufreud,121,1,818,0,0,0,0
1577513145,Petyr Baelish,121,1,817,0,0,0,0
1577513147,Tyrion Lennister,121,1,782,0,0,0,0
1577513148,Ser Jorah Mormont,121,1,596,0,0,0,0
1577513149,Viserys Targaryen,121,1,819,0,0,0,0
1577513150,Sam Tarly,121,1,801,0,0,0,0
1577513153,Sansa Stark,121,1,808,0,0,0,0
1577513157,Brandon Stark,121,1,802,0,0,0,0
1577513166,Brienne von Tarth,121,1,834,0,0,0,0
1577513172,Katheleit,0,1,1369,0,0,0,0
1577513315,granto,343,1,867,0,0,0,0
1577513316,Albanischer Krieger,424,7,26950,17996,4378,0,22374
1577513358,TheBoss95,436,1,1604,0,0,0,0
1577513377,Fistiii,481,1,2320,2378,38,673,3089
1577513511,EvilActivity,81,1,3371,256,8154,0,8410
1577513527,der einsame wolf,237,1,446,0,1967,12,1979
1577513563,Flo947,465,1,116,0,30,0,30
1577513567,VoidRaven,0,1,26,0,0,0,0
1577513584,Finesse,533,7,19419,9241,33,0,9274
1577513590,Blacksigil,0,1,26,0,0,0,0
1577513614,The-Loki,494,1,1334,0,0,0,0
1577513615,Basti9254,0,1,26,0,0,0,0
1577513628,Der Rote Baron 2,63,1,2418,0,8,0,8
1577513667,Trisaster,0,1,665,0,799,0,799
1577513669,derGrester,119,3,5243,0,865,0,865
1577513715,cascade,3,1,2733,0,0,5,5
1577513899,Grudod96,0,1,382,0,1128,0,1128
1577513929,Zade,6,1,2010,0,0,0,0
1577513934,Hildegard II,6,1,228,0,0,0,0
1577513946,indefinitelearner25,0,1,550,0,0,0,0
1577514049,udo-l72,0,0,0,0,8617,0,8617
1577514178,egon,0,1,870,0,1164,0,1164
1577514183,Fabiven,0,1,104,0,0,0,0
1577514194,Prince von Bel Air,150,10,39070,48082,167879,4994,220955
1577514259,CDBE,591,1,1342,794,827,0,1621
1577514267,rash39,263,2,4421,0,277,0,277
1577514286,imiaki,296,1,2810,0,8,0,8
1577514310,bierosaufus ex,0,1,48,0,0,0,0
1577514409,seref,565,1,1419,1585,15436,0,17021
1577514422,Paytowin0815,0,1,751,0,0,0,0
1577514440,Noctyra,0,1,26,0,1,0,1
1577514451,Vireon,0,1,130,0,0,0,0
1577514457,Zweinbecker,0,1,527,0,0,0,0
1577514458,Greenmouse,0,0,0,5578,2146,0,7724
1577514460,Ashvale,0,1,76,0,0,0,0
1577514471,Jensemann,0,1,1331,220,0,0,220
1577514592,ExodusFlo,343,1,2143,0,0,0,0
1577514674,Leo Bonhart,0,1,258,0,563,0,563
1577514709,FlexxenDeffen,0,1,26,0,0,0,0
1577514758,Madze,235,1,1736,0,0,0,0
