id,name,tag,members,villages,points,all_points,rank
456,Wiederholungstäter,REPEAT,24,118,413591,413591,19
459,Nanook is back2,N2,22,43,88893,88893,69
460,Need Friends,-NFs-,1,0,0,0,469
461,STURM,STURM,23,96,288770,288770,29
462,Ohne man army,Oma,1,0,895,895,375
463,BHC Königsbrunn,BHC,5,5,7615,7615,221
464,Senat Nord,-SEN-N,2,5,16598,16598,177
467,Glumanda will ran da!,GWRD,1,1,533,533,407
468,PPOnly,PPO,1,1,2429,2429,295
469,IgelSchildkröten,ISk,2,2,5574,5574,235
472,wetrustinBugs,wtB,21,169,668505,668505,12
473,WeTrustInBugs2,wtB2,21,111,310370,310370,25
474,Wind,Wind,15,18,26729,26729,146
475,KISS ARMY,KISS,1,0,0,0,470
476,Keine Panik,PANIK,1,1,1372,1372,344
480,Schlesien,Cosel,1,1,794,794,382
481,Never give up,NGV,3,4,6269,6269,229
482,EPIC²,FAIL,15,23,52785,52785,95
483,Taverne,Casa,1,0,0,0,471
484,Hallo,H1,1,1,26,26,462
486,Märchenstunde,GRIMM,3,2,1358,1358,346
494,Vandalen,*V*,3,3,1451,1451,335
496,Wakanda,WaK,24,29,48615,48615,102
498,Der Kreis der Gerechten,DKG,25,56,140844,140844,49
499,Liebe und PP,LOVE,1,1,6210,6210,230
501,Whisky Humor,WYH,25,27,25108,25108,149
502,Asdfgh,Asdfgh,1,1,2059,2059,314
503,DIE HORDE,DHO,5,4,9906,9906,198
506,Natural Born Killers,~NBK~,25,26,44766,44766,111
508,Nebelwachen,~NW~,1,1,2335,2335,299
509,Ehlgötz Kompressoren,EGDLT,3,4,7985,7985,215
510,Freunde von Niemand,FvN,1,0,0,0,472
512,Los Toros,L-T-S,2,2,2912,2912,278
513,Maximum Power,~MxP~,11,10,8923,8923,208
515,Senat 3,-SEN³-,8,14,45300,45300,109
516,Nanook,N3,16,34,82508,82508,71
518,Al-Dar,Al-Dar,25,44,113080,113080,61
521,Der Neue Anfang,DNA,21,39,72151,72151,78
522,Deswer,Des,17,17,1402,1402,341
523,Schwarze Reiter,-SR-,1,1,946,946,372
524,Kult,abc,1,1,1633,1633,328
525,ZYXW,ZYX,1,1,1412,1412,340
526,Tödlich für Raucher,GIZEH,5,11,33930,33930,133
529,Green Street Hooligans,GSH,15,77,303695,303695,27
532,Falken,HNF,2,1,1400,1400,343
533,Bei weitem nicht so toll,Schade,24,167,677278,677278,11
534,Spider-Web-Clan,SWC,16,40,78279,78279,73
535,Farmers Home,FH,1,0,738,738,386
536,Kiel,Kiel,1,1,1180,1180,356
537,Brennen muss Salem,Brenn,1,1,841,841,379
539,ZXXH,HQ,8,8,11180,11180,192
541,Kaioshin Enterprise,KFC,22,47,158192,158192,46
542,Warborn,WAB,16,21,46988,46988,106
543,9876,9876,4,5,11882,11882,190
544,Hostel,TikTok,1,1,1257,1257,353
545,Die grünen Teufel,-DgT-,3,4,6135,6135,231
547,RTH Alone,RTHALO,1,0,1161,1161,358
549,GumGum,GG,2,2,2861,2861,282
551,Ummattaka Clan,MMTTK,19,19,24977,24977,151
552,MicktenMoneyClan,~MMC~,2,1,2434,2434,297
